Name,DOB,Club,gender,result,discipline,date,competition_id,result_id
Dai Joseph,11-08-90,Bruk-Bet Termalica Nieciecza,F,260.98,1500,06-03-15,60,29244
Ella Williamson,12-10-83,Wisla Krakowa,F,52.9,400,06-03-15,60,29344
Hadley Montgomery,11-20-87,Wisla Plock,F,132.09,800,06-03-15,60,29407
Jaime Valencia,12-09-94,Zaglebie Lubin,F,23.94,200,06-03-15,60,29497
Alyssa Hutchinson,09-22-01,Legia Warsawa,F,25.89,200,06-03-15,60,29587
William Kent,09-10-01,Cracovia,M,21.83,200,06-03-15,60,29627
Aubrey Mitchell,11-07-97,Lechia Gdansk,F,54.65,400,06-03-15,60,30005
Nasim Gonzales,03-21-89,Wisla Plock,M,20.72,200,06-03-15,60,30118
Lewis Conley,04-06-02,Slask Wroclaw,M,223.6,1500,06-03-15,60,30397
Shellie Jacobson,06-09-01,Piast Gliwice,F,260.19,1500,06-03-15,60,30461
Colby Erickson,05-10-83,Legia Warsawa,M,10.47,100,06-03-15,60,30533
Tanya Rivera,11-24-88,Zaglebie Lubin,F,170.11,1000,06-03-15,60,30552
Regan Holden,02-19-87,Sandecja Nowy Sacz,F,56.75,400,06-03-15,60,30842
Daria Chan,10-14-94,Korona Kielce,F,24.41,200,06-03-15,60,31081
Cooper Potts,06-23-84,Pogon Szczecin,M,22.51,200,06-03-15,60,31100
Adrian Guerra,01-23-84,Arka Gdynia,M,12.01,100,06-03-15,60,31301
Mia Greene,04-10-99,Gornik Zabrze,F,172.33,1000,06-03-15,60,31449
Courtney Wiggins,07-10-02,Lech Poznan,F,268.12,1500,06-03-15,60,31477
Jemima Blankenship,01-18-97,Gornik Zabrze,F,24.4,200,06-03-15,60,31511
Jaime Valencia,12-09-94,Zaglebie Lubin,F,53.73,400,06-03-15,60,31615
Shellie Jacobson,06-09-01,Piast Gliwice,F,267.72,1500,06-03-15,60,32146
Shellie Jacobson,06-09-01,Piast Gliwice,F,178.57,1000,06-03-15,60,32225
Violet Dorsey,05-17-95,Bruk-Bet Termalica Nieciecza,F,23.72,200,06-03-15,60,32315
Paul Nelson,07-11-89,Cracovia,M,111.39,800,06-03-15,60,32577
Britanni Clayton,01-16-97,Gornik Zabrze,F,23.4,200,06-03-15,60,32781
Anthony Harding,03-06-94,Piast Gliwice,M,105.7,800,06-03-15,60,32796
Summer Diaz,02-27-91,Zaglebie Lubin,F,247.96,1500,06-03-15,60,32879
Anne Carr,03-30-85,Cracovia,F,55.55,400,06-03-15,60,32882
Yael Hogan,09-17-96,Zaglebie Lubin,F,181.92,1000,06-03-15,60,32975
Wing Macdonald,08-16-99,Slask Wroclaw,M,47.29,400,06-03-15,60,33032
Summer Diaz,02-27-91,Zaglebie Lubin,F,13.97,100,06-03-15,60,33094
September Acosta,12-08-83,Arka Gdynia,F,130.96,800,06-03-15,60,33261
Charles Logan,12-09-03,Cracovia,M,20.0,200,06-03-15,60,33335
Aubrey Mitchell,11-07-97,Lechia Gdansk,F,12.16,100,06-03-15,60,33422
Sheila Taylor,02-15-03,Lech Poznan,F,13.26,100,06-03-15,60,33443
Hedwig Cain,07-11-90,Piast Gliwice,F,130.0,800,06-03-15,60,33970
Clayton Clarke,12-13-94,Wisla Plock,M,148.38,1000,06-03-15,60,33996
Amela Preston,02-25-00,Pogon Szczecin,F,12.12,100,06-03-15,60,34246
Jennifer Lopez,09-16-86,Wisla Krakowa,F,266.25,1500,06-03-15,60,34438
Mia Greene,04-10-99,Gornik Zabrze,F,24.28,200,06-03-15,60,34573
Anthony Harding,03-06-94,Piast Gliwice,M,45.98,400,06-03-15,60,34733
Anthony Harding,03-06-94,Piast Gliwice,M,22.93,200,06-03-15,60,34734
Ronan Travis,07-25-01,Piast Gliwice,M,110.86,800,06-03-15,60,34768
Karen Christensen,06-06-89,Gornik Zabrze,F,53.79,400,06-03-15,60,34799
Amos Wagner,09-20-92,Wisla Krakowa,M,22.78,200,06-03-15,60,34967
Dexter Hudson,03-09-93,Jagiellonia Bialystok,M,47.97,400,06-03-15,60,35004
Mari Swanson,04-29-87,Wisla Krakowa,F,175.24,1000,06-03-15,60,35058
Madison Hancock,11-20-87,Wisla Krakowa,F,13.77,100,06-03-15,60,35328
Alyssa Hutchinson,09-22-01,Legia Warsawa,F,13.02,100,06-03-15,60,35419
Candice Conrad,03-29-86,Sandecja Nowy Sacz,F,25.0,200,06-03-15,60,35432
Logan Vaughn,03-16-96,Legia Warsawa,M,48.52,400,06-03-15,60,35613
Ciara Sims,09-12-02,Korona Kielce,F,261.61,1500,06-03-15,60,35642
Emi Cobb,11-28-01,Zaglebie Lubin,F,185.4,1000,06-03-15,60,35705
Raphael Wiley,04-20-90,Pogon Szczecin,M,144.51,1000,06-03-15,60,35743
Cassidy Valdez,12-21-84,Lech Poznan,F,253.04,1500,06-03-15,60,35893
Alana Booth,03-08-95,Bruk-Bet Termalica Nieciecza,F,132.2,800,06-03-15,60,35973
Chancellor Hyde,05-11-01,Lechia Gdansk,M,11.03,100,06-03-15,60,36344
Odysseus Terrell,05-17-89,Jagiellonia Bialystok,M,47.34,400,06-03-15,60,36411
Bert Farley,12-18-01,Jagiellonia Bialystok,M,109.34,800,06-03-15,60,36555
Sage Richardson,09-13-88,Bruk-Bet Termalica Nieciecza,F,180.61,1000,06-03-15,60,36585
Rhonda Holt,01-14-93,Slask Wroclaw,F,136.34,800,06-03-15,60,36598
Damian Monroe,04-07-99,Cracovia,M,11.76,100,06-03-15,60,36643
Warren Bowman,02-14-89,Lechia Gdansk,M,156.76,1000,06-03-15,60,36718
Murphy Hubbard,08-27-89,Lech Poznan,M,49.89,400,06-03-15,60,36736
Grace Mueller,12-27-93,Cracovia,F,130.55,800,06-03-15,60,36812
Nichole Lee,05-26-99,Legia Warsawa,F,133.06,800,06-03-15,60,36869
Rhona Trujillo,08-09-86,Lechia Gdansk,F,14.9,100,06-03-15,60,36953
Blossom Bradshaw,02-26-97,Korona Kielce,F,14.36,100,06-03-15,60,37234
Madison Hancock,11-20-87,Wisla Krakowa,F,246.42,1500,06-03-15,60,37272
Cally Lott,07-01-01,Wisla Plock,F,165.94,1000,06-03-15,60,37290
Blossom Bradshaw,02-26-97,Korona Kielce,F,167.97,1000,06-03-15,60,37343
Sasha Matthews,01-08-93,Bruk-Bet Termalica Nieciecza,F,14.54,100,06-03-15,60,37460
Caesar Newton,11-01-99,Zaglebie Lubin,M,47.36,400,06-03-15,60,37480
Regan Holden,02-19-87,Sandecja Nowy Sacz,F,56.85,400,06-03-15,60,37630
Adrian Guerra,01-23-84,Arka Gdynia,M,107.37,800,06-03-15,60,38132
Urielle David,04-27-99,Legia Warsawa,F,260.47,1500,06-03-15,60,38205
Wing Macdonald,08-16-99,Slask Wroclaw,M,22.11,200,06-03-15,60,38242
Bruno Riley,01-30-00,Gornik Zabrze,M,155.82,1000,06-03-15,60,38285
Alexis Little,01-01-92,Korona Kielce,F,258.36,1500,06-03-15,60,38776
Baker Wilkinson,10-21-93,Slask Wroclaw,M,48.02,400,06-03-15,60,39038
Nolan Mitchell,01-28-85,Lech Poznan,M,219.23,1500,06-03-15,60,39157
Aubrey Mitchell,11-07-97,Lechia Gdansk,F,53.35,400,06-03-15,60,39195
Callum Berger,07-09-01,Slask Wroclaw,M,140.45,1000,06-03-15,60,39221
Brent Hubbard,05-31-82,Pogon Szczecin,M,105.89,800,06-03-15,60,39248
Mia Greene,04-10-99,Gornik Zabrze,F,188.58,1000,06-03-15,60,39267
Daria Chan,10-14-94,Korona Kielce,F,255.53,1500,06-03-15,60,39527
Tanek Snow,12-03-96,Slask Wroclaw,M,220.68,1500,06-03-15,60,39791
Kenneth Morse,08-07-92,Wisla Plock,M,110.96,800,06-03-15,60,39821
Felicia Barnes,04-08-93,Lechia Gdansk,F,24.53,200,06-03-15,60,39859
Joshua Shepherd,10-26-99,Bruk-Bet Termalica Nieciecza,M,21.1,200,06-03-15,60,40005
Cassady Lewis,12-04-90,Korona Kielce,F,14.95,100,06-03-15,60,40022
Nasim Gonzales,03-21-89,Wisla Plock,M,21.72,200,06-03-15,60,40048
Madison Hancock,11-20-87,Wisla Krakowa,F,56.42,400,06-03-15,60,40122
May Beach,04-20-94,Legia Warsawa,F,188.96,1000,06-03-15,60,40126
Rhonda Mathews,08-13-99,Sandecja Nowy Sacz,F,175.71,1000,06-03-15,60,40234
Jessamine Chapman,04-01-85,Zaglebie Lubin,F,139.65,800,06-03-15,60,40264
Hop Wade,02-12-98,Wisla Plock,M,220.14,1500,06-03-15,60,40363
Tiger Payne,09-16-98,Arka Gdynia,M,11.79,100,06-03-15,60,40505
Dai Joseph,11-08-90,Bruk-Bet Termalica Nieciecza,F,131.03,800,06-03-15,60,40611
Isabelle Humphrey,08-29-89,Slask Wroclaw,F,186.2,1000,06-03-15,60,40641
Curran Bray,06-04-85,Lech Poznan,M,144.05,1000,06-03-15,60,41074
Erica Parsons,10-29-88,Pogon Szczecin,F,55.61,400,06-03-15,60,41077
Mara Ford,04-14-95,Wisla Plock,F,23.99,200,06-03-15,60,41223
Todd Jenkins,02-14-87,Wisla Krakowa,M,11.51,100,06-03-15,60,41326
Brenda Dodson,05-01-98,Lechia Gdansk,F,262.15,1500,06-03-15,60,41585
Anne Foster,05-14-95,Sandecja Nowy Sacz,F,23.76,200,06-03-15,60,41867
Kamal Joseph,11-29-86,Wisla Plock,M,10.13,100,06-03-15,60,41920
Amy Keith,10-05-95,Korona Kielce,F,131.94,800,06-03-15,60,41964
Vanna Chase,05-04-87,Legia Warsawa,F,13.4,100,06-03-15,60,41984
Harrison Mathis,03-05-05,Jagiellonia Bialystok,M,108.29,800,06-03-15,60,42085
Fuller Lowe,02-02-04,Slask Wroclaw,M,21.04,200,06-03-15,60,42141
Ezekiel Battle,05-19-84,Wisla Krakowa,M,152.92,1000,06-03-15,60,42283
Patrick Key,01-28-02,Pogon Szczecin,M,113.33,800,06-03-15,60,42346
Mona Weiss,07-20-86,Zaglebie Lubin,F,125.72,800,06-03-15,60,42441
Ivy Lott,08-08-84,Lech Poznan,F,176.42,1000,06-03-15,60,42442
Florence Huff,04-11-84,Jagiellonia Bialystok,F,54.35,400,06-03-15,60,42475
Alika Reid,02-20-00,Cracovia,F,25.12,200,06-03-15,60,42553
Ainsley Middleton,12-26-99,Zaglebie Lubin,F,14.79,100,06-03-15,60,42561
Beverly Beach,04-03-00,Gornik Zabrze,F,23.99,200,06-03-15,60,42752
Willa Bray,08-09-98,Sandecja Nowy Sacz,F,256.82,1500,06-03-15,60,42815
Francis Hatfield,04-29-04,Cracovia,M,151.68,1000,06-03-15,60,42875
Hamilton Roth,10-30-86,Jagiellonia Bialystok,M,106.38,800,06-03-15,60,42951
Sopoline Ferguson,01-07-89,Cracovia,F,12.16,100,06-03-15,60,43587
Faith Contreras,09-19-91,Piast Gliwice,F,268.29,1500,06-03-15,60,43638
Violet Dorsey,05-17-95,Bruk-Bet Termalica Nieciecza,F,261.55,1500,06-03-15,60,43664
Elliott Gamble,06-17-86,Lech Poznan,M,50.69,400,06-03-15,60,43723
Danielle Mayer,08-11-84,Bruk-Bet Termalica Nieciecza,F,12.22,100,06-03-15,60,43749
Lewis Conley,04-06-02,Slask Wroclaw,M,152.64,1000,06-03-15,60,43944
Vincent Bullock,12-12-88,Korona Kielce,M,109.83,800,06-03-15,60,44338
Chase Giles,03-06-98,Zaglebie Lubin,M,156.94,1000,06-03-15,60,44393
Rose Montgomery,11-06-00,Wisla Plock,F,170.73,1000,06-03-15,60,44436
Leonard Garza,08-16-88,Pogon Szczecin,M,45.81,400,06-03-15,60,44589
Maxwell Keller,10-22-02,Wisla Krakowa,M,109.83,800,06-03-15,60,44642
Aretha Thompson,06-12-96,Wisla Krakowa,F,171.2,1000,06-03-15,60,44705
Ramona Richardson,04-21-86,Wisla Krakowa,F,174.57,1000,06-03-15,60,44828
Deacon Trujillo,07-02-00,Korona Kielce,M,11.15,100,06-03-15,60,44855
Jessica Prince,12-22-98,Cracovia,F,51.25,400,06-03-15,60,44926
Elliott Gamble,06-17-86,Lech Poznan,M,111.34,800,06-03-15,60,44957
Channing Fox,12-15-95,Zaglebie Lubin,M,11.73,100,06-03-15,60,45072
Arden Campbell,02-18-82,Bruk-Bet Termalica Nieciecza,M,157.16,1000,06-03-15,60,45129
Chaim Levy,06-17-89,Lech Poznan,M,157.19,1000,06-03-15,60,45236
Cooper Potts,06-23-84,Pogon Szczecin,M,10.97,100,06-03-15,60,45262
Leslie Chan,06-24-86,Slask Wroclaw,F,13.37,100,06-03-15,60,45266
Candice Conrad,03-29-86,Sandecja Nowy Sacz,F,54.2,400,06-03-15,60,45330
Danielle Mayer,08-11-84,Bruk-Bet Termalica Nieciecza,F,131.67,800,06-03-15,60,45351
Urielle David,04-27-99,Legia Warsawa,F,126.46,800,06-03-15,60,45378
Tiger Hood,07-06-80,Lechia Gdansk,M,216.04,1500,06-03-15,60,45553
Jessamine Chapman,04-01-85,Zaglebie Lubin,F,24.01,200,06-03-15,60,45641
Rae Castro,08-16-85,Sandecja Nowy Sacz,F,133.52,800,06-03-15,60,45864
Jemima Blankenship,01-18-97,Gornik Zabrze,F,267.63,1500,06-03-15,60,46027
Summer Diaz,02-27-91,Zaglebie Lubin,F,250.16,1500,06-03-15,60,46157
Edan Russell,02-15-93,Sandecja Nowy Sacz,M,141.12,1000,06-03-15,60,46170
Wing Sherman,05-05-81,Lechia Gdansk,M,11.86,100,06-03-15,60,46184
Ryan Swanson,02-01-00,Jagiellonia Bialystok,M,46.66,400,06-03-15,60,46208
Rina Gibson,02-23-94,Wisla Krakowa,F,179.52,1000,06-03-15,60,46209
Amethyst Wheeler,12-06-92,Pogon Szczecin,F,56.04,400,06-03-15,60,46234
Harlan Kline,12-28-01,Jagiellonia Bialystok,M,22.25,200,06-03-15,60,46288
Leah Conrad,12-23-83,Lechia Gdansk,F,12.61,100,06-03-15,60,46367
Fay Lindsay,11-27-92,Wisla Krakowa,F,13.22,100,06-03-15,60,46669
Grace Mueller,12-27-93,Cracovia,F,246.06,1500,06-03-15,60,46967
Adrian Guerra,01-23-84,Arka Gdynia,M,10.88,100,06-03-15,60,47010
Guinevere Mercer,11-14-01,Slask Wroclaw,F,139.18,800,06-03-15,60,47028
Vanna Chase,05-04-87,Legia Warsawa,F,190.15,1000,06-03-15,60,47063
Whitney Mack,10-13-96,Bruk-Bet Termalica Nieciecza,F,52.08,400,06-03-15,60,47097
Ethan Chambers,05-09-89,Wisla Krakowa,M,226.1,1500,06-03-15,60,47204
Cassady Lewis,12-04-90,Korona Kielce,F,13.39,100,06-03-15,60,47250
Scarlett Yang,02-27-89,Wisla Plock,F,139.98,800,06-03-15,60,47404
Daniel Jacobs,01-08-84,Legia Warsawa,M,154.98,1000,06-03-15,60,47444
Joshua Shepherd,10-26-99,Bruk-Bet Termalica Nieciecza,M,107.34,800,06-03-15,60,47525
George Avila,07-28-80,Bruk-Bet Termalica Nieciecza,M,110.03,800,06-03-15,60,47745
Guinevere Mercer,11-14-01,Slask Wroclaw,F,24.02,200,06-03-15,60,48182
Mia Greene,04-10-99,Gornik Zabrze,F,25.64,200,06-03-15,60,48318
Orson Petty,07-01-00,Zaglebie Lubin,M,114.01,800,06-03-15,60,48377
Jackson Hyde,12-01-91,Korona Kielce,M,110.68,800,06-03-15,60,48395
Phillip Beck,08-08-84,Wisla Plock,M,22.77,200,06-03-15,60,48615
Thomas Mcleod,03-26-82,Piast Gliwice,M,157.44,1000,06-03-15,60,48775
Timothy Ellis,02-10-97,Lech Poznan,M,153.83,1000,06-03-15,60,48803
Wing Macdonald,08-16-99,Slask Wroclaw,M,109.87,800,06-03-15,60,48804
Jemima Blankenship,01-18-97,Gornik Zabrze,F,139.18,800,06-03-15,60,49270
Callie Mcfadden,06-23-95,Slask Wroclaw,F,268.06,1500,06-03-15,60,49338
Ivor Richmond,12-28-89,Slask Wroclaw,M,10.83,100,06-03-15,60,49438
Timothy Ellis,02-10-97,Lech Poznan,M,159.27,1000,06-03-15,60,49507
Ursa Dickerson,05-04-87,Lechia Gdansk,F,190.4,1000,06-03-15,60,49588
Tiger Bell,06-03-90,Arka Gdynia,M,11.52,100,06-03-15,60,49743
Christian Deleon,07-11-99,Wisla Krakowa,M,234.76,1500,06-03-15,60,49752
Keelie Short,09-23-85,Piast Gliwice,F,24.75,200,06-03-15,60,49835
Blossom Bradshaw,02-26-97,Korona Kielce,F,136.82,800,06-03-15,60,49910
Lewis Fulton,02-17-89,Bruk-Bet Termalica Nieciecza,M,50.07,400,06-03-15,60,50026
Wyatt Benson,05-23-91,Lech Poznan,M,12.74,100,06-03-15,60,50106
Dale Skinner,12-20-99,Piast Gliwice,M,20.71,200,06-03-15,60,50129
Ursa Dickerson,05-04-87,Lechia Gdansk,F,264.48,1500,06-03-15,60,50167
Wynne Griffin,02-17-00,Lechia Gdansk,F,24.53,200,06-03-15,60,50432
Olga Vaughan,11-07-90,Wisla Krakowa,F,56.55,400,06-03-15,60,50565
Jolene Gentry,08-19-90,Gornik Zabrze,F,168.76,1000,06-03-15,60,50731
Orla Hatfield,05-07-94,Wisla Krakowa,F,251.98,1500,06-03-15,60,51093
Tanya Rivera,11-24-88,Zaglebie Lubin,F,179.78,1000,06-03-15,60,51121
Yoshi Patton,04-09-84,Wisla Plock,F,23.11,200,06-03-15,60,51157
Indira Mercado,11-26-00,Pogon Szczecin,F,56.11,400,06-03-15,60,51224
Ivor Richmond,12-28-89,Slask Wroclaw,M,11.34,100,06-03-15,60,51236
Ezekiel Church,07-09-93,Cracovia,M,50.66,400,06-03-15,60,51300
Adrian Guerra,01-23-84,Arka Gdynia,M,143.1,1000,06-03-15,60,51419
Cally Lott,07-01-01,Wisla Plock,F,165.64,1000,06-03-15,60,51470
Seth Willis,09-22-04,Jagiellonia Bialystok,M,12.37,100,06-03-15,60,51524
Nasim Gonzales,03-21-89,Wisla Plock,M,50.41,400,06-03-15,60,51673
Lavinia Ellis,04-09-03,Cracovia,F,13.23,100,06-03-15,60,51883
Emmanuel Mcgowan,05-19-95,Lechia Gdansk,M,21.0,200,06-03-15,60,51905
Jorden Glenn,02-10-93,Pogon Szczecin,F,127.84,800,06-03-15,60,52114
Jasmine Schneider,04-24-87,Lech Poznan,F,51.86,400,06-03-15,60,52178
Montana Huff,03-31-93,Lechia Gdansk,F,128.93,800,06-03-15,60,52181
Troy Farrell,11-17-99,Lech Poznan,M,114.95,800,06-03-15,60,52277
Alec Foley,11-30-80,Pogon Szczecin,M,49.0,400,06-03-15,60,52327
Norman Stevens,01-29-04,Sandecja Nowy Sacz,M,227.53,1500,06-03-15,60,52446
Timothy Ellis,02-10-97,Lech Poznan,M,46.09,400,06-03-15,60,52470
Hayes Craig,09-30-02,Gornik Zabrze,M,21.08,200,06-03-15,60,52503
Kirsten Yang,06-11-93,Legia Warsawa,F,24.97,200,06-03-15,60,52548
Amethyst Wheeler,12-06-92,Pogon Szczecin,F,190.47,1000,06-03-15,60,52618
Jasmine Schneider,04-24-87,Lech Poznan,F,55.87,400,06-03-15,60,52675
Bree Stark,01-17-91,Jagiellonia Bialystok,F,25.96,200,06-03-15,60,52779
Tanisha Mcmahon,08-21-91,Legia Warsawa,F,13.92,100,06-03-15,60,53043
Yuri Harding,07-08-89,Jagiellonia Bialystok,F,191.12,1000,06-03-15,60,53075
Vielka Nelson,01-14-96,Bruk-Bet Termalica Nieciecza,F,53.08,400,06-03-15,60,53445
Ramona Morrow,08-01-97,Pogon Szczecin,F,253.39,1500,06-03-15,60,53462
Burke William,12-20-87,Pogon Szczecin,M,148.26,1000,06-03-15,60,53473
Angelica Lawson,02-04-93,Pogon Szczecin,F,12.3,100,06-03-15,60,53547
Tyrone Harris,03-08-97,Bruk-Bet Termalica Nieciecza,M,231.85,1500,06-03-15,60,53641
Stephen Blackwell,03-13-99,Pogon Szczecin,M,210.88,1500,06-03-15,60,53644
Grace Mueller,12-27-93,Cracovia,F,13.15,100,06-03-15,60,53966
Aquila Horn,08-27-92,Sandecja Nowy Sacz,M,235.08,1500,06-03-15,60,54241
Wing Macdonald,08-16-99,Slask Wroclaw,M,111.36,800,06-03-15,60,54268
Shay Nash,09-13-86,Lech Poznan,F,125.28,800,06-03-15,60,54355
Indira Mercado,11-26-00,Pogon Szczecin,F,13.18,100,06-03-15,60,54399
Samuel Sharpe,10-20-83,Lech Poznan,M,10.15,100,06-03-15,60,54406
Indira Mercado,11-26-00,Pogon Szczecin,F,12.25,100,06-03-15,60,54458
Cadman English,12-31-88,Bruk-Bet Termalica Nieciecza,M,223.62,1500,06-03-15,60,54501
Megan Berger,07-25-88,Wisla Krakowa,F,263.06,1500,06-03-15,60,54771
Wyoming Dejesus,06-02-89,Piast Gliwice,F,168.04,1000,06-03-15,60,54929
Orlando Huffman,06-30-98,Wisla Plock,M,48.05,400,06-03-15,60,55169
Nyssa Gibbs,04-09-94,Slask Wroclaw,F,56.57,400,06-03-15,60,55216
Indira Riley,06-04-98,Piast Gliwice,F,128.94,800,06-03-15,60,55283
Chester Waller,08-08-80,Wisla Krakowa,M,230.94,1500,06-03-15,60,55763
Jolene Gentry,08-19-90,Gornik Zabrze,F,14.04,100,06-03-15,60,55868
Nehru Lowe,12-19-96,Lech Poznan,M,148.01,1000,06-03-15,60,56056
Harrison Mathis,03-05-05,Jagiellonia Bialystok,M,159.07,1000,06-03-15,60,56126
Urielle Sutton,09-23-01,Sandecja Nowy Sacz,F,135.0,800,06-03-15,60,56279
Chloe Potter,01-27-86,Gornik Zabrze,F,13.02,100,06-03-15,60,56283
Phoebe Delgado,10-21-95,Cracovia,F,179.88,1000,06-03-15,60,56381
Keaton Wise,11-10-95,Wisla Plock,M,47.86,400,06-03-15,60,56425
Priscilla Mccray,08-19-93,Bruk-Bet Termalica Nieciecza,F,254.83,1500,06-03-15,60,56938
Francis Sutton,10-16-02,Pogon Szczecin,M,152.28,1000,06-03-15,60,57042
Ursula Humphrey,03-30-94,Wisla Plock,F,25.46,200,06-03-15,60,57063
Katelyn Lott,07-09-96,Pogon Szczecin,F,254.35,1500,06-03-15,60,57073
Charissa May,02-18-92,Arka Gdynia,F,25.66,200,06-03-15,60,57123
Macey Kelly,07-19-95,Slask Wroclaw,F,261.38,1500,06-03-15,60,57128
Emily Bryant,01-14-01,Bruk-Bet Termalica Nieciecza,F,12.79,100,06-03-15,60,57316
Hermione Solomon,09-25-99,Lech Poznan,F,23.22,200,06-03-15,60,57335
Patience Mcfadden,06-08-89,Arka Gdynia,F,14.29,100,06-03-15,60,57346
Wilma Oneill,01-25-93,Korona Kielce,F,245.49,1500,06-03-15,60,57366
Damon George,06-15-82,Pogon Szczecin,M,114.4,800,06-03-15,60,57501
Brenda Dodson,05-01-98,Lechia Gdansk,F,251.29,1500,06-03-15,60,57638
Rowan Hubbard,01-16-88,Zaglebie Lubin,F,185.02,1000,06-03-15,60,57840
Tanek Ferrell,01-13-01,Sandecja Nowy Sacz,M,141.35,1000,06-03-15,60,57930
Kenneth Ewing,08-28-02,Lechia Gdansk,M,45.5,400,06-03-15,60,57955
Kameko Dalton,09-19-90,Legia Warsawa,F,128.25,800,06-03-15,60,57974
Kimberly Wade,02-05-97,Legia Warsawa,F,134.16,800,06-03-15,60,58087
Tiger Payne,09-16-98,Arka Gdynia,M,107.76,800,06-03-15,60,58319
Stephen Blackwell,03-13-99,Pogon Szczecin,M,236.65,1500,06-03-15,60,58362
Leah Conrad,12-23-83,Lechia Gdansk,F,248.88,1500,06-03-15,60,58626
Mari Swanson,04-29-87,Wisla Krakowa,F,252.44,1500,06-03-15,60,58868
Amos Wagner,09-20-92,Wisla Krakowa,M,106.39,800,06-03-15,60,58879
Pascale Hill,11-09-97,Gornik Zabrze,F,267.48,1500,06-03-15,60,59139
Chandler Lopez,09-13-81,Pogon Szczecin,M,20.54,200,06-03-15,60,59269
Ina Massey,09-17-98,Slask Wroclaw,F,253.94,1500,06-03-15,60,59468
Aubrey Mitchell,11-07-97,Lechia Gdansk,F,23.02,200,06-03-15,60,59540
Elaine Bruce,02-04-94,Lech Poznan,F,136.34,800,06-03-15,60,59584
Nevada Scott,12-07-94,Arka Gdynia,F,12.07,100,06-03-15,60,59609
Sawyer Baxter,03-23-01,Lechia Gdansk,M,105.22,800,06-03-15,60,59616
Ifeoma Peck,01-18-84,Korona Kielce,F,139.16,800,06-03-15,60,59657
Jerome Holmes,11-24-93,Wisla Plock,M,21.15,200,06-03-15,60,59755
Rhoda Horton,04-08-93,Slask Wroclaw,F,168.88,1000,06-03-15,60,59950
Armand David,03-22-98,Piast Gliwice,M,228.15,1500,06-03-15,60,59969
Harlan Kline,12-28-01,Jagiellonia Bialystok,M,47.07,400,06-03-15,60,60036
Fredericka Moss,07-06-93,Lechia Gdansk,F,183.37,1000,06-03-15,60,60213
Wing Macdonald,08-16-99,Slask Wroclaw,M,220.79,1500,06-03-15,60,60463
Hayes Tanner,09-20-00,Slask Wroclaw,M,12.24,100,06-03-15,60,60585
Fulton Wilkerson,05-13-92,Lech Poznan,M,152.4,1000,06-03-15,60,60684
Driscoll Jordan,12-18-85,Lechia Gdansk,M,10.83,100,06-03-15,60,60760
Kamal Joseph,11-29-86,Wisla Plock,M,48.1,400,06-03-15,60,60919
Courtney Mathis,01-27-00,Legia Warsawa,F,132.93,800,06-03-15,60,61003
Rhona Trujillo,08-09-86,Lechia Gdansk,F,168.39,1000,06-03-15,60,61031
Bert Farley,12-18-01,Jagiellonia Bialystok,M,45.32,400,06-03-15,60,61328
Lionel Rivera,03-12-82,Zaglebie Lubin,M,22.06,200,06-03-15,60,61375
Britanni Clayton,01-16-97,Gornik Zabrze,F,126.5,800,06-03-15,60,61452
Dexter Hudson,03-09-93,Jagiellonia Bialystok,M,50.6,400,06-03-15,60,61475
Castor Henry,06-11-94,Lech Poznan,M,20.46,200,06-03-15,60,61531
Rahim Ball,06-22-87,Piast Gliwice,M,156.26,1000,06-03-15,60,61585
Ariana Tucker,07-25-94,Jagiellonia Bialystok,F,14.07,100,06-03-15,60,61840
Hammett George,08-25-92,Arka Gdynia,M,239.44,1500,06-03-15,60,61856
May Beach,04-20-94,Legia Warsawa,F,12.01,100,06-03-15,60,61872
Karina Matthews,09-25-95,Gornik Zabrze,F,25.81,200,06-03-15,60,62249
Maxine Simmons,02-17-84,Wisla Krakowa,F,131.52,800,06-03-15,60,62252
Mara Ford,04-14-95,Wisla Plock,F,51.68,400,06-03-15,60,62325
Abra Williams,03-26-90,Lechia Gdansk,F,54.58,400,06-03-15,60,62427
Kibo Valencia,07-27-80,Lechia Gdansk,M,46.52,400,06-03-15,60,62524
Brielle Sosa,09-17-92,Korona Kielce,F,54.2,400,06-03-15,60,62620
Anne Carr,03-30-85,Cracovia,F,136.1,800,06-03-15,60,62852
September Hutchinson,08-14-96,Slask Wroclaw,F,54.58,400,06-03-15,60,62900
Barclay Bruce,01-29-92,Wisla Krakowa,M,113.77,800,06-03-15,60,62961
Montana Huff,03-31-93,Lechia Gdansk,F,172.67,1000,06-03-15,60,63095
Todd Jenkins,02-14-87,Wisla Krakowa,M,48.97,400,06-03-15,60,63212
Graham Mcfarland,02-02-95,Wisla Plock,M,226.91,1500,06-03-15,60,63233
Harrison Knox,12-20-80,Legia Warsawa,M,218.25,1500,06-03-15,60,63238
Chloe Potter,01-27-86,Gornik Zabrze,F,251.92,1500,06-03-15,60,63304
Avye Rosario,04-14-89,Pogon Szczecin,F,136.43,800,06-03-15,60,63306
Yoshio Meyers,12-20-90,Arka Gdynia,M,49.52,400,06-03-15,60,63332
Gretchen Lawson,12-26-84,Lech Poznan,F,245.01,1500,06-03-15,60,63471
Bree Stark,01-17-91,Jagiellonia Bialystok,F,251.97,1500,06-03-15,60,63473
