Name,DOB,Club,gender,trener_id
Avye Rosario,04-14-89,Pogon Szczecin,F,33
Ainsley Middleton,12-26-99,Zaglebie Lubin,F,32
Josephine Navarro,07-29-01,Korona Kielce,F,44
Zorita Ross,06-28-84,Bruk-Bet Termalica Nieciecza,F,17
Dai Joseph,11-08-90,Bruk-Bet Termalica Nieciecza,F,29
Brenda Dodson,05-01-98,Lechia Gdansk,F,32
Guinevere Mercer,11-14-01,Slask Wroclaw,F,29
Vanna Lamb,08-17-97,Legia Warsawa,F,8
Althea Hodges,01-05-92,Legia Warsawa,F,39
Imani Joseph,02-07-85,Piast Gliwice,F,42
Ella Buckner,02-24-88,Zaglebie Lubin,F,39
Denise Vance,01-31-93,Cracovia,F,47
Ainsley Burns,07-07-91,Wisla Plock,F,37
September Acosta,12-08-83,Arka Gdynia,F,1
Linda Stephens,05-12-85,Zaglebie Lubin,F,8
Karleigh Barr,12-15-00,Wisla Krakowa,F,16
Faith Contreras,09-19-91,Piast Gliwice,F,8
Mia Greene,04-10-99,Gornik Zabrze,F,7
Pascale Hill,11-09-97,Gornik Zabrze,F,4
Megan Berger,07-25-88,Wisla Krakowa,F,1
Sopoline Ferguson,01-07-89,Cracovia,F,32
Cassady Lewis,12-04-90,Korona Kielce,F,30
Oprah James,09-07-95,Legia Warsawa,F,1
Roary Bean,03-08-96,Legia Warsawa,F,42
Simone Harvey,08-21-01,Lech Poznan,F,45
Charissa May,02-18-92,Arka Gdynia,F,27
Blossom Bradshaw,02-26-97,Korona Kielce,F,8
Hedwig Cain,07-11-90,Piast Gliwice,F,33
Shay Nash,09-13-86,Lech Poznan,F,12
Ivy Lott,08-08-84,Lech Poznan,F,33
Leah Conrad,12-23-83,Lechia Gdansk,F,34
Tatum Fields,08-28-83,Gornik Zabrze,F,1
Brielle Sosa,09-17-92,Korona Kielce,F,8
Candice Gaines,02-04-84,Arka Gdynia,F,37
Emily Bryant,01-14-01,Bruk-Bet Termalica Nieciecza,F,20
Orla Hatfield,05-07-94,Wisla Krakowa,F,16
Clio Colon,10-15-00,Arka Gdynia,F,34
Breanna Tucker,12-29-98,Korona Kielce,F,0
Vivian Hobbs,10-14-93,Piast Gliwice,F,7
Martina Morse,06-29-01,Zaglebie Lubin,F,26
Shellie Jacobson,06-09-01,Piast Gliwice,F,12
Ariana Tucker,07-25-94,Jagiellonia Bialystok,F,48
Kaitlin Rosa,08-16-93,Gornik Zabrze,F,7
Sopoline Pennington,02-25-91,Jagiellonia Bialystok,F,19
Sage Alvarez,05-10-85,Sandecja Nowy Sacz,F,48
Macy Guerrero,11-29-86,Jagiellonia Bialystok,F,25
Gemma Jones,01-13-03,Legia Warsawa,F,48
Priscilla Mccray,08-19-93,Bruk-Bet Termalica Nieciecza,F,46
Alyssa Hutchinson,09-22-01,Legia Warsawa,F,16
Kaitlin Coleman,12-28-85,Wisla Krakowa,F,19
Medge Gillespie,03-15-95,Pogon Szczecin,F,11
Quintessa Odom,11-23-99,Lech Poznan,F,43
Jade Burgess,04-30-96,Arka Gdynia,F,39
Phoebe Delgado,10-21-95,Cracovia,F,24
Germane Bush,12-21-84,Piast Gliwice,F,34
Madison Park,02-19-86,Lechia Gdansk,F,24
Rose Montgomery,11-06-00,Wisla Plock,F,0
Amy Richardson,05-27-90,Korona Kielce,F,44
Lenore Mclaughlin,08-16-91,Lechia Gdansk,F,22
Lois Maddox,03-18-02,Gornik Zabrze,F,6
Anne Foster,05-14-95,Sandecja Nowy Sacz,F,40
Amy Keith,10-05-95,Korona Kielce,F,14
Felicia Barnes,04-08-93,Lechia Gdansk,F,23
Violet Dorsey,05-17-95,Bruk-Bet Termalica Nieciecza,F,27
Wanda Boyer,06-25-02,Zaglebie Lubin,F,6
Ruth Douglas,04-27-88,Korona Kielce,F,19
Kimberly Bishop,07-14-00,Sandecja Nowy Sacz,F,40
Danielle Mayer,08-11-84,Bruk-Bet Termalica Nieciecza,F,24
Imogene Walter,11-22-92,Arka Gdynia,F,31
Inez Goodman,03-31-90,Wisla Krakowa,F,6
Halee Conrad,08-08-98,Bruk-Bet Termalica Nieciecza,F,28
Patience Mcfadden,06-08-89,Arka Gdynia,F,2
Wynne Griffin,02-17-00,Lechia Gdansk,F,49
Dacey Browning,12-31-99,Legia Warsawa,F,9
Desirae Stafford,06-08-88,Arka Gdynia,F,38
Jennifer Lopez,09-16-86,Wisla Krakowa,F,3
Breanna Nolan,12-20-87,Lech Poznan,F,5
Lana Talley,03-23-01,Korona Kielce,F,45
Tatyana Burks,10-12-93,Gornik Zabrze,F,34
Indira Riley,06-04-98,Piast Gliwice,F,17
Basia Craft,07-11-98,Piast Gliwice,F,14
Macey Kelly,07-19-95,Slask Wroclaw,F,11
Adele Christian,11-22-90,Piast Gliwice,F,25
Angelica Lawson,02-04-93,Pogon Szczecin,F,30
Cally Lott,07-01-01,Wisla Plock,F,4
Astra Snow,11-07-89,Pogon Szczecin,F,32
Jorden Glenn,02-10-93,Pogon Szczecin,F,37
Regan Holden,02-19-87,Sandecja Nowy Sacz,F,37
Farrah Combs,09-01-87,Sandecja Nowy Sacz,F,46
Constance Jenkins,05-16-87,Lech Poznan,F,11
Bo Rodriguez,05-02-88,Korona Kielce,F,44
Jamalia Shepherd,10-08-97,Korona Kielce,F,32
Madison Hancock,11-20-87,Wisla Krakowa,F,13
Ursa Pennington,05-30-94,Wisla Krakowa,F,14
Laurel Fulton,05-07-94,Jagiellonia Bialystok,F,46
Astra Petty,07-25-84,Sandecja Nowy Sacz,F,29
Anika Burgess,05-19-00,Jagiellonia Bialystok,F,44
Beatrice Spence,04-20-97,Lechia Gdansk,F,0
Karina Matthews,09-25-95,Gornik Zabrze,F,39
Anastasia Garner,06-20-93,Sandecja Nowy Sacz,F,41
Sydnee Moreno,01-09-96,Pogon Szczecin,F,44
Imelda Middleton,03-05-85,Gornik Zabrze,F,27
Mercedes Oconnor,09-19-01,Lechia Gdansk,F,22
Jaime Parker,11-18-96,Wisla Krakowa,F,7
Kaitlin Fox,03-09-97,Slask Wroclaw,F,33
Deanna Daniel,12-18-88,Zaglebie Lubin,F,31
Olga Vaughan,11-07-90,Wisla Krakowa,F,7
Aileen Hamilton,10-16-98,Jagiellonia Bialystok,F,19
Gillian Olson,08-28-89,Zaglebie Lubin,F,47
Beverly Beach,04-03-00,Gornik Zabrze,F,17
Anjolie Cooley,05-03-89,Lechia Gdansk,F,30
Barbara Russell,06-16-91,Gornik Zabrze,F,49
Yoshi Hooper,10-23-93,Gornik Zabrze,F,12
Karen Christensen,06-06-89,Gornik Zabrze,F,31
